Year,Event,Driver,Team,LapNumber,Stint,TyreLife,Compound,LapTime,Position,TrackTemp,AirTemp,FuelEstimate,RowID,NormalizedLap,LapInStint,BestLap,DeltaBestLap,FuelNorm
2024,Australian Grand Prix,PIA,McLaren,4,1,4,MEDIUM,82.581,4,38.4,20.6,104.6,50,2.38200000000001,3,82.581,0,0.966728280961183
2024,Australian Grand Prix,PIA,McLaren,5,1,5,MEDIUM,82.594,4,38.4,20.6,102.8,51,2.395,4,82.581,0.012999999999991,0.950092421441774
2024,Australian Grand Prix,PIA,McLaren,6,1,6,MEDIUM,82.582,4,38.4,20.6,101,52,2.383,5,82.581,0.000999999999990564,0.933456561922366
2024,Australian Grand Prix,PIA,McLaren,7,1,7,MEDIUM,82.877,4,38.4,20.6,99.2,53,2.678,6,82.581,0.295999999999992,0.916820702402958
2024,Australian Grand Prix,PIA,McLaren,12,2,4,HARD,82.948,6,38.4,20.6,90.2,54,2.749,1,81.597,1.351,0.833641404805915
2024,Australian Grand Prix,PIA,McLaren,13,2,5,HARD,82.426,6,38.4,20.6,88.4,55,2.227,2,81.597,0.829000000000008,0.817005545286506
2024,Australian Grand Prix,PIA,McLaren,14,2,6,HARD,81.968,5,38.4,20.6,86.6,56,1.76900000000001,3,81.597,0.371000000000009,0.800369685767098
2024,Australian Grand Prix,PIA,McLaren,15,2,7,HARD,81.961,4,38.4,20.6,84.8,57,1.762,4,81.597,0.364000000000004,0.783733826247689
2024,Australian Grand Prix,PIA,McLaren,16,2,8,HARD,82.015,4,38.4,20.6,83,58,1.816,5,81.597,0.418000000000006,0.767097966728281
2024,Australian Grand Prix,PIA,McLaren,19,2,11,HARD,81.871,3,38.4,20.6,77.6,59,1.672,6,81.597,0.274000000000001,0.717190388170055
2024,Australian Grand Prix,PIA,McLaren,20,2,12,HARD,82.085,3,38.4,20.6,75.8,60,1.886,7,81.597,0.488,0.700554528650647
2024,Australian Grand Prix,PIA,McLaren,21,2,13,HARD,81.923,3,38.4,20.6,74,61,1.724,8,81.597,0.326000000000008,0.683918669131238
2024,Australian Grand Prix,PIA,McLaren,22,2,14,HARD,82.013,3,38.4,20.6,72.2,62,1.81400000000001,9,81.597,0.416000000000011,0.66728280961183
2024,Australian Grand Prix,PIA,McLaren,23,2,15,HARD,81.817,3,38.4,20.6,70.4,63,1.61799999999999,10,81.597,0.219999999999999,0.650646950092421
2024,Australian Grand Prix,PIA,McLaren,24,2,16,HARD,81.83,3,38.4,20.6,68.6,64,1.631,11,81.597,0.233000000000004,0.634011090573013
2024,Australian Grand Prix,PIA,McLaren,25,2,17,HARD,81.597,3,38.4,20.6,66.8,65,1.398,12,81.597,0,0.617375231053604
2024,Australian Grand Prix,PIA,McLaren,26,2,18,HARD,82.243,3,38.4,20.6,65,66,2.044,13,81.597,0.646000000000001,0.600739371534196
2024,Australian Grand Prix,PIA,McLaren,27,2,19,HARD,82.287,3,38.4,20.6,63.2,67,2.08800000000001,14,81.597,0.690000000000012,0.584103512014787
2024,Australian Grand Prix,PIA,McLaren,28,2,20,HARD,82.204,3,38.4,20.6,61.4,68,2.005,15,81.597,0.606999999999999,0.567467652495379
2024,Australian Grand Prix,PIA,McLaren,29,2,21,HARD,83.479,4,38.4,20.6,59.6,69,3.28,16,81.597,1.88200000000001,0.55083179297597
2024,Australian Grand Prix,PIA,McLaren,30,2,22,HARD,82.52,4,38.4,20.6,57.8,70,2.321,17,81.597,0.923000000000002,0.534195933456562
2024,Australian Grand Prix,PIA,McLaren,31,2,23,HARD,82.133,4,38.4,20.6,56,71,1.934,18,81.597,0.536000000000001,0.517560073937153
2024,Australian Grand Prix,PIA,McLaren,32,2,24,HARD,81.989,4,38.4,20.6,54.2,72,1.79000000000001,19,81.597,0.39200000000001,0.500924214417745
2024,Australian Grand Prix,PIA,McLaren,33,2,25,HARD,82.1,4,38.4,20.6,52.4,73,1.901,20,81.597,0.503,0.484288354898336
2024,Australian Grand Prix,PIA,McLaren,34,2,26,HARD,82.238,3,38.4,20.6,50.6,74,2.039,21,81.597,0.641000000000005,0.467652495378928
2024,Australian Grand Prix,PIA,McLaren,35,2,27,HARD,82.059,3,38.4,20.6,48.8,75,1.86,22,81.597,0.462000000000003,0.451016635859519
2024,Australian Grand Prix,PIA,McLaren,36,2,28,HARD,82.047,3,38.4,20.6,47,76,1.848,23,81.597,0.450000000000003,0.434380776340111
2024,Australian Grand Prix,PIA,McLaren,37,2,29,HARD,81.89,3,38.4,20.6,45.2,77,1.691,24,81.597,0.293000000000006,0.417744916820702
2024,Australian Grand Prix,PIA,McLaren,42,3,4,HARD,81.08,4,38.4,20.6,36.2,78,0.881,1,80.199,0.881,0.33456561922366
2024,Australian Grand Prix,PIA,McLaren,43,3,5,HARD,80.485,4,38.4,20.6,34.4,79,0.286000000000001,2,80.199,0.286000000000001,0.317929759704251
2024,Australian Grand Prix,PIA,McLaren,44,3,6,HARD,80.395,4,38.4,20.6,32.6,80,0.195999999999998,3,80.199,0.195999999999998,0.301293900184843
